DD/MM/YYYY HH:MM, Saturation, Watering
26/06/2020 15:49, 94.8, False, False
26/06/2020 15:55, 94.5, False, False
26/06/2020 15:55, 94.8, False, False
26/06/2020 16:00, 94.8, False, False
26/06/2020 16:00, 94.8, False, False
26/06/2020 16:01, 94.8, False, False
26/06/2020 16:01, 94.8, False, False
26/06/2020 16:06, 94.8, False, False
26/06/2020 16:07, 94.8, False, False
26/06/2020 16:22, 94.8, False, False
26/06/2020 16:37, 94.8, False, False
26/06/2020 16:52, 94.8, False, False
26/06/2020 17:07, 94.5, False, False
26/06/2020 17:22, 94.8, False, False
26/06/2020 17:37, 94.8, False, False
26/06/2020 17:52, 94.8, False, False
26/06/2020 18:07, 94.5, False, False
26/06/2020 18:22, 94.5, False, False
26/06/2020 18:37, 94.5, False, False
26/06/2020 18:52, 94.5, False, False
26/06/2020 19:07, 94.5, False, False
26/06/2020 19:07, 94.5, False, False
26/06/2020 19:22, 94.5, False, False
26/06/2020 19:37, 94.5, False, False
26/06/2020 19:52, 94.5, False, False
26/06/2020 20:07, 94.5, False, False
26/06/2020 20:22, 94.3, False, False
26/06/2020 20:37, 94.3, False, False
26/06/2020 20:52, 94.3, False, False
26/06/2020 21:07, 94.3, False, False
26/06/2020 21:22, 94.3, False, False
26/06/2020 21:37, 94.3, False, False
26/06/2020 21:52, 94.3, False, False
26/06/2020 22:07, 94.3, False, False
26/06/2020 22:22, 94.3, False, False
26/06/2020 22:37, 94.3, False, False
26/06/2020 22:52, 94.5, False, False
26/06/2020 23:07, 94.5, False, False
26/06/2020 23:22, 94.5, False, False
26/06/2020 23:37, 94.5, False, False
26/06/2020 23:52, 94.5, False, False
27/06/2020 00:07, 94.5, False, False
27/06/2020 00:22, 94.5, False, False
27/06/2020 00:37, 94.5, False, False
27/06/2020 00:52, 94.5, False, False
27/06/2020 01:07, 94.5, False, False
27/06/2020 01:22, 94.5, False, False
27/06/2020 01:37, 94.5, False, False
27/06/2020 01:52, 94.5, False, False
27/06/2020 02:07, 94.5, False, False
27/06/2020 02:22, 94.5, False, False
27/06/2020 02:37, 94.5, False, False
27/06/2020 02:52, 94.5, False, False
27/06/2020 03:07, 94.5, False, False
27/06/2020 03:22, 94.5, False, False
27/06/2020 03:37, 94.5, False, False
27/06/2020 03:52, 94.5, False, False
27/06/2020 04:07, 94.5, False, False
27/06/2020 04:22, 94.3, False, False
27/06/2020 04:37, 94.5, False, False
27/06/2020 04:52, 94.5, False, False
27/06/2020 05:07, 94.5, False, False
27/06/2020 05:22, 94.5, False, False
27/06/2020 05:37, 94.5, False, False
27/06/2020 05:52, 94.5, False, False
27/06/2020 06:07, 94.3, False, False
27/06/2020 06:22, 94.3, False, False
27/06/2020 06:37, 94.3, False, False
27/06/2020 06:52, 94.5, False, False
27/06/2020 07:07, 94.3, False, False
27/06/2020 07:22, 94.3, False, False
27/06/2020 07:37, 94.3, False, False
27/06/2020 07:52, 94.3, False, False
27/06/2020 08:07, 94.3, False, False
27/06/2020 08:22, 94.3, False, False
27/06/2020 08:37, 94.3, False, False
27/06/2020 08:52, 94.3, False, False
27/06/2020 09:07, 94.3, False, False
27/06/2020 09:22, 94.3, False, False
27/06/2020 09:37, 94.3, False, False
27/06/2020 09:52, 94.3, False, False
27/06/2020 10:07, 94.5, False, False
27/06/2020 10:22, 94.3, False, False
27/06/2020 10:37, 94.0, False, False
27/06/2020 10:52, 94.3, False, False
27/06/2020 11:07, 94.3, False, False
27/06/2020 11:22, 94.0, False, False
27/06/2020 11:37, 94.0, False, False
